8,0.56819808483123779,1.3177069425582886,1.3177069425582886,271.75,1336,150,0,63,0,0,0,345.75,190,8,0,0,4,36,19,45,1
8,0.25,1.6966079473495483,2.8516929149627686,268,1646.75,150,0,97,0,1,0,337,192,12,140.32620239257812,0,1,22,23,55,1
4,1.3326989412307739,1.9322079420089722,1.9322079420089722,273,1466.5,150,0,61,0,1,0,341,197.75,4,0,0,7.75,45,35.25,19.75,1
8,0.8535534143447876,2.7766919136047363,3.5748140811920166,268.75,2004.25,150,22778.30078125,67,0,0,0,346.75,193.75,6,50.226619720458984,1,9,34,43,23,2
7,0.66094762086868286,0.82973790168762207,0.82973790168762207,272,1450.75,125,0,80,0,0,0,357,172.75,0,0,0,10,49,27,24,1
7,0.76558381319046021,0.3848646879196167,2.1906859874725342,273,1754.5,150,1762.14599609375,85,1,0,0,349,195.5,6,0,0,7,17,31,52,1
6,2.1192390918731689,4.3269548416137695,5.558800220489502,254.75,2396.75,150,25851.279296875,270,1,0,1,340.25,163,2.5,0,7,7,17,31,52,12
6,1.9313709735870361,3.2284269332885742,11.802109718322754,239.5,2703,125,2145.25,526,0,0,1,326.25,143,3,0,10,10,49,27,24,17
8,0.52391707897186279,0.78284281492233276,2.9546539783477783,242.75,2024,125,2384.06201171875,419,0,0,1,325.25,164.5,2,0,5,2,20,24,56,8
8,1.5606600046157837,4.2570819854736328,4.2570819854736328,276,1379,150,89.046882629394531,8,0,0,0,349,196,4,236.63169860839844,0,0,0,0,52,0
7,0.5,0.61356168985366821,1.5062689781188965,275,1804,150,6257.86083984375,18,0,0,0,354,198.25,7,553.4249267578125,0,4.75,33.5,38.5,28,1
7,0.29058378934860229,0.22391709685325623,0.77669447660446167,274.75,1270.5,150,24819.330078125,38,0,0,0,338,213,7,0,0,9,34,43,23,1
7,0.3535534143447876,0.67356669902801514,0.67356669902801514,277,1316.25,150,39851.140625,10,0,0,0,341,215,8,254.95849609375,0,9,34,43,23,0
8,0.094280913472175598,0.25522848963737488,1.4370900392532349,276,1398.25,150,229.44540405273437,8,1,0,0,347,197,6,12.851280212402344,0,7,17,31,52,0
6,1.5515309572219849,1.4836380481719971,2.6931140422821045,258,2526.75,125,69.366958618164062,202,0,0,1,341,169,2,0,6,10,49,27,24,11
0,5.089500904083252,7.121607780456543,6.6595768928527832,268.75,1821.25,150,820.85968017578125,63,0,1,0,347,186.5,2,325.239013671875,1,4,78,12,10,2
6,1.6635199785232544,2.7990789413452148,4.015254020690918,269.5,1743.25,150,558.74212646484375,111,1,0,0,347.75,189,3,0,2,7,17,31,52,3
0,4.125,4.3276138305664062,4.3276138305664062,277.5,1724.5,150,19464.830078125,9,0,0,0,348.25,207.5,4,201.45770263671875,0,4,39,41,20,0
7,0.40833330154418945,2.887437105178833,2.9614980220794678,274.75,1205.75,150,195.66839599609375,17,0,0,0,357,180.25,0,77.968940734863281,0,7.5,21.25,34,44.75,0
7,0.57342648506164551,0.80104082822799683,0.80104082822799683,267.25,1459.25,150,0,113,0,1,0,337,189.5,11,257.27969360351562,2,1,22,23,55,3
7,0.6348646879196167,1.8291460275650024,1.8291460275650024,275,1487.75,150,943.5313720703125,23,0,0,0,350,193.5,3,0,0,9,34,43,23,0
7,0.47391709685325623,1.6234270334243774,1.7338839769363403,275,1353.75,150,648.7376708984375,3,1,0,0,331,217,7.5,450.15130615234375,0,7,17,31,52,0
8,1.0631730556488037,2.6051440238952637,4.326998233795166,254.25,1654.75,125,197.835205078125,351,0,0,0,323,178.5,9,0,12,10,49,27,24,18
8,2.158984899520874,2.1532659530639648,3.6684610843658447,235,2077.5,125,0,671,0,0,0,300.5,161,15,0,14,10,49,27,24,21
7,0,0.75,2.5857620239257813,277,1406.75,150,53512.44921875,10,1,0,0,346,209,6,377.6300048828125,0,4,8,34,58,1
8,0.84117597341537476,1.1505500078201294,2.9943408966064453,269.75,1724.75,125,254.97259521484375,107,0,0,0,351.5,176,1,0,1,10,49,27,24,2
8,0.5,1.4953219890594482,2.5041038990020752,268,1787.25,150,203.83740234375,117,0,1,0,346.25,182,2,0,1,4,78,12,10,2
7,0,1.1945370435714722,1.1945370435714722,274,1270.5,150,9.5492963790893555,14,0,1,0,349,187,1,0,0,4,78,12,10,0
8,1.1861510276794434,1.2668700218200684,2.1796960830688477,265.75,1803.5,150,133.14169311523437,125,0,1,0,344,182,2,0,6,4,78,12,10,9
3,2.0708119869232178,1.4739170074462891,4.0211758613586426,263.25,1980.25,125,2357.35791015625,138,0,0,1,344.25,181.75,2,0,1,10,49,27,24,3
8,0.447834312915802,2.010516881942749,2.010516881942749,272.5,1501.75,150,193.37330627441406,36,0,0,0,341.75,196.5,5,0,0,4,36,19,45,1
0,0,0.066666670143604279,0.22761429846286774,277.75,1757.25,150,17706.810546875,13,0,0,0,347,209,4,590.8450927734375,0,4,39,41,20,0
1,0.93673199415206909,0.99975717067718506,1.466143012046814,275,2917.5,150,3788.6279296875,5,1,0,0,329,220,14,0,0,4,19,32,49,1
7,0.52772188186645508,1.3059190511703491,1.3725860118865967,268,1865.25,150,3814.404052734375,120,0,0,0,325,210.25,12,0,1,9,34,43,23,2
7,0.8535534143447876,2.0606598854064941,5.0577759742736816,261,2066.5,150,130.82460021972656,126,0,1,0,344.75,179,2,103.53739929199219,0,4,78,12,10,1
2,0.94891709089279175,2.5610671043395996,2.6370899677276611,257.25,2115.75,150,14278.1103515625,190,0,1,0,341.5,170.75,2,76.455390930175781,5,2,20,24,56,8
8,0.094280913472175598,1.6370899677276611,1.6968239545822144,271,1532.25,150,1395.9219970703125,104,0,0,0,335,205.75,7,0,0,9,34,43,23,1
7,0.56568551063537598,0.83235210180282593,1.901142954826355,271,1417.5,150,0,52,0,0,0,343,193,8,0,0,4,36,19,45,1
7,0.42569988965988159,1.2011899948120117,1.2678560018539429,270,1768,150,2605.23291015625,91,0,0,0,326.5,212.75,13,0,1,9,34,43,23,2
2,0.64117598533630371,0.54689508676528931,0.54689508676528931,273,1465.25,150,0,65,0,1,0,357,174,0,0,0,4,78,12,10,1
8,1.4367430210113525,0.25261420011520386,0.34689518809318542,257.75,2227.75,150,67281.7734375,158,0,0,0,335,183.5,7,0,2,9,34,43,23,3
7,0.15833330154418945,0.41617611050605774,0.57808077335357666,276,1552,150,7812.90380859375,24,0,1,0,346,204,7,142.37289428710937,0,4,78,12,10,1
6,1.0155839920043945,1.0155839920043945,3.8448910713195801,267.25,1453.5,125,0,155,0,0,0,344.75,179,1,0,8,10,49,27,24,13
